,Tipo de cambio
2015-09-26,0.015160703485683769
2015-09-29,-0.0018949622429431656
2015-09-30,0.1722946853946361
2015-10-01,0.034045129038329236
2015-10-02,0.024580942330221234
2015-10-03,-0.00189062721567268
2015-10-06,0.007562294403751224
2015-10-07,-0.003781075716435822
2015-10-08,0.013233139581636522
2015-10-09,-0.003780718336887645
2015-10-10,-0.09834888164359512
2015-10-13,0.0
2015-10-14,-0.06435737492624938
2015-10-15,-0.013255190846894749
2015-10-16,-0.0018937421291553846
2015-10-17,-0.0075753271630674135
2015-10-20,-0.001893921459128478
2015-10-21,0.017044001972887912
2015-10-22,-0.0018936345474784844
2015-10-23,-0.0018936704067051835
2015-10-24,-0.001893706267352968
2015-10-27,0.0075746099112983245
2015-10-28,-0.005680903643945356
2015-10-29,-0.026515151670558623
