,Original,Tendencia-ciclo
2015-09,4.679861115146498,4.707005402092934
2015-10,4.709880294256881,4.70858354409447
2015-11,4.738967298955837,4.710707900435285
2015-12,4.725950076807038,4.713812664857992
2016-01,4.7319808620432084,4.718192247862363
2016-02,4.739406623797336,4.72166126476081
2016-03,4.747361253127598,4.724037498759086
2016-04,4.700493502887943,4.72685589797555
2016-05,4.728155136372727,4.729669180267713
2016-06,4.717527479200096,4.732787732897522
2016-07,4.722798688816003,4.736825631849267
2016-08,4.71532737786871,4.741184784790032
2016-09,4.724208711498267,4.745608852638066
2016-10,4.751581189499583,4.749750593068092
2016-11,4.795548659071827,4.753175978866801
2016-12,4.77612439290814,4.755671007206177
2017-01,4.763994492644552,4.757926737527097
2017-02,4.762092752100821,4.760328397541898
2017-03,4.7996924815634525,4.762990032554075
2017-04,4.7272524661897695,4.765949541208512
2017-05,4.76984226096357,4.768603610997351
2017-06,4.776268440231597,4.770854275413112
2017-07,4.753801927050796,4.772367267180613
2017-08,4.742383362669938,4.774043205485837
2017-09,4.743242081995604,4.776921753413523
2017-10,4.785074443800957,4.7803056687723275
2017-11,4.819889775074826,4.783650687448245
2017-12,4.8091684664568195,4.7864606987721325
2018-01,4.796415666861938,4.78844459151081
2018-02,4.782621981300917,4.790921060777067
2018-03,4.827165074081227,4.794042500970632
2018-04,4.766869346301907,4.796737768079515
2018-05,4.81297723153213,4.799139980467658
2018-06,4.804028053479187,4.800412938668026
2018-07,4.789437909187737,4.800324478630575
2018-08,4.777348656415228,4.799750130628531
2018-09,4.755432103227022,4.799307104176128
2018-10,4.806015039338423,4.799771807366823
2018-11,4.831931250205322,4.800982240930841
2018-12,4.818713530670894,4.802501035185801
2019-01,4.8133206380139955,4.80420213899044
2019-02,4.805297551946223,4.80602356875281
2019-03,4.8450854421076315,4.807791394090345
2019-04,4.770445389664861,4.809382204149429
2019-05,4.811574606667925,4.81133437505448
2019-06,4.808118078368105,4.813778005731153
2019-07,4.804545336202888,4.816305635122816
2019-08,4.789288228301849,4.819160045242571
2019-09,4.791338113006738,4.822488443657316
2019-10,4.840882976492627,4.8255936971047735
2019-11,4.8573536986390815,4.828001981511514
2019-12,4.850038492440342,4.830145679231546
